PROBEID,SYMBOL,GENENAME,ENTREZID,logFC,AveExpr,t,P.Value,adj.P.Val,B,pval_under_05
TC1900009744.hg.1,SNORD41,"small nucleolar RNA, C/D box 41",26810,-0.807619816991591,8.15977801508296,-6.79675419558748,7.92789758296065e-11,1.49567715800136e-06,14.0066096233616,TRUE
TC1700006721.hg.1,SLC16A13,solute carrier family 16 member 13,201232,-0.363301689703588,6.36923508671643,-6.59131278947539,2.60426995529366e-10,2.45660784882851e-06,12.9069402552713,TRUE
TC1100006572.hg.1,TSPAN32,tetraspanin 32,10077,-0.382321770165004,6.73928428484047,-6.20940507127989,2.22676706332826e-09,1.16495007135401e-05,10.9249535741426,TRUE
TC0700008454.hg.1,BHLHA15,basic helix-loop-helix family member a15,168620,0.299653668731807,8.86593654582963,6.18254483919811,2.58107057120046e-09,1.16495007135401e-05,10.7887083049023,TRUE
TC0400006487.hg.1,TMEM175,transmembrane protein 175,84286,-0.276460691459041,7.60419012136048,-6.1368480281828,3.31478622027233e-09,1.16495007135401e-05,10.5578916146281,TRUE
TC0300012834.hg.1,TMEM14EP,"transmembrane protein 14E, pseudogene",645843,0.621107096733485,3.28998608639652,6.1025423062144,3.99632364377974e-09,1.16495007135401e-05,10.3854232849336,TRUE
TC1100011053.hg.1,MIR6746,microRNA 6746,102465446,0.333684599582027,10.3621887463601,6.08811161981206,4.32240565009967e-09,1.16495007135401e-05,10.3130835177044,TRUE
TC0600011435.hg.1,SNORD117,"small nucleolar RNA, C/D box 117",692233,-0.652693618813877,5.32959286653065,-6.059757144979,5.04075874612664e-09,1.18873693130531e-05,10.1713068950821,TRUE
TC0700009594.hg.1,RNY5,"RNA, Ro60-associated Y5",6090,-0.466512544633745,4.45807193577693,-5.966035269185,8.34933089378534e-09,1.75020529602394e-05,9.70612031529388,TRUE
TC0500009706.hg.1,SQSTM1,sequestosome 1,8878,-0.301267813672567,9.17440061638743,-5.90554975453891,1.15297264693695e-08,2.17519819571125e-05,9.408729684984,TRUE
TC0700008579.hg.1,TRIM56,tripartite motif containing 56,81844,-0.289160053923371,7.34412367439763,-5.71161820365807,3.19454325264116e-08,5.47893209130255e-05,8.47044381413521,TRUE
