PROBEID,SYMBOL,GENENAME,ENTREZID,logFC,AveExpr,t,P.Value,adj.P.Val,B,pval_under_05
TC1000006862.hg.1,OLAH,oleoyl-ACP hydrolase,55301,3.32842476873587,4.14211242777446,12.4890352840021,4.33409136446142e-28,8.17669676819292e-24,52.958863428051,TRUE
TC0500006744.hg.1,ROPN1L,rhophilin associated tail protein 1 like,83853,1.71733633473791,7.48218346827875,11.4597782022019,1.1206207556786e-24,1.05708155883162e-20,45.2817535042373,TRUE
TC0600011646.hg.1,SLC26A8,solute carrier family 26 member 8,116369,2.72226579381537,5.80048615372834,11.3356179209366,2.85556583904253e-24,1.79577017064588e-20,44.3678456196229,TRUE
TC0100011665.hg.1,MTARC1,mitochondrial amidoxime reducing component 1,64757,1.64970866361309,7.8140019684575,11.1699375672143,9.90086716256056e-24,4.66974399722169e-20,43.1530698841191,TRUE
TC0400009217.hg.1,KLHL2,kelch like family member 2,11275,1.77853425546987,8.6935896417261,11.0600250754986,2.25173122539329e-23,8.49623225965397e-20,42.3503150855706,TRUE
TC0400007933.hg.1,ANXA3,annexin A3,306,2.67802265585652,8.44582904939975,10.9983031797608,3.56782912739754e-23,1.12184440529137e-19,41.9006580452592,TRUE
TC0200012161.hg.1,GALNT14,polypeptide N-acetylgalactosaminyltransferase 14,79623,3.06820146958511,5.526239389599,10.8831326481382,8.40228303650703e-23,2.26453531095345e-19,41.0638627747154,TRUE
TC0600009455.hg.1,ARG1,arginase 1,383,2.78936767389859,6.51571645046042,10.7074496246234,3.08514330341595e-22,7.27553919528067e-19,39.7932417257089,TRUE
TC0100007378.hg.1,CLIC4,chloride intracellular channel 4,25932,0.965891349216652,7.54910263506189,10.6448638579983,4.89479088646949e-22,1.02605694293482e-18,39.3423578676185,TRUE
TC0500013020.hg.1,CLK4,CDC like kinase 4,57396,1.27161272162613,8.18889202775767,10.4903828934502,1.52307295693587e-21,2.87342944055521e-18,38.2335621539684,TRUE
TC0400012621.hg.1,ACSL1,acyl-CoA synthetase long chain family member 1,2180,1.51062845809831,10.3315615845081,10.4669697462287,1.80804089584431e-21,3.10095450372716e-18,38.066037222136,TRUE
TC0700013442.hg.1,LSMEM1,leucine rich single-pass membrane protein 1,286006,1.62499545529168,5.94899016362412,10.40799557344,2.78328384138041e-21,4.37578607929023e-18,37.6446926378983,TRUE
TC0100010252.hg.1,FCER1A,Fc epsilon receptor Ia,2205,-3.11532387687553,6.44478531603293,-10.3602305178062,3.9446378042239e-21,5.72457975496063e-18,37.3040965068708,TRUE
TC0900010769.hg.1,NFIL3,"nuclear factor, interleukin 3 regulated",4783,1.23226717013998,8.53720780189712,10.3452203106008,4.40094590679416e-21,5.93058896268419e-18,37.1971880526617,TRUE
TC0100015330.hg.1,PHTF1,putative homeodomain transcription factor 1,10745,1.49594370411619,4.98306109696122,10.2552078686037,8.4736972225281e-21,1.06576514533477e-17,36.5573481387327,TRUE
TC0800010607.hg.1,ASPH,aspartate beta-hydroxylase,444,1.41569619570532,9.95777597697741,10.1341138490648,2.03856895711021e-20,2.40372762155258e-17,35.7000566957178,TRUE
TC0200007261.hg.1,QPCT,glutaminyl-peptide cyclotransferase,25797,1.23563603992611,10.0101242737239,10.1069295744794,2.48123164890002e-20,2.75358331106752e-17,35.5081659633083,TRUE
TC0700013397.hg.1,CDK14,cyclin dependent kinase 14,5218,1.29759080146285,7.43546094159242,10.0771743823896,3.0759248514307e-20,3.22391101372731e-17,35.2983672998964,TRUE
TC0700011054.hg.1,GRB10,growth factor receptor bound protein 10,2887,2.21901230739099,5.37714528794596,10.0688902817605,3.26538218474898e-20,3.24235264723548e-17,35.240002428539,TRUE
TC1500008521.hg.1,MEF2A,myocyte enhancer factor 2A,4205,1.07959863319977,9.12482390888072,10.036516197749,4.12378745973338e-20,3.8899687107665e-17,35.0121024008774,TRUE
TC0200015402.hg.1,HYCC2,hyccin PI4KA lipid kinase complex subunit 2,285172,1.32837971944875,8.65087065739957,10.0088715012246,5.03207073363602e-20,4.52071649813225e-17,34.8177344670071,TRUE
TC1100012126.hg.1,MMP8,matrix metallopeptidase 8,4317,4.53950562760902,7.81482607801189,9.96740028454948,6.78037755766113e-20,5.81448195467431e-17,34.5265701071612,TRUE
TC0600011644.hg.1,SRPK1,SRSF protein kinase 1,6732,1.36823721460728,6.99336201475844,9.95301761534404,7.51825598777043e-20,5.925094279012e-17,34.4257088247017,TRUE
TC0500008233.hg.1,MACIR,macrophage immunometabolism regulator,90355,1.70739835949331,4.97781659339004,9.95266179203381,7.53748874675543e-20,5.925094279012e-17,34.4232143161314,TRUE
TC2000007514.hg.1,MMP9,matrix metallopeptidase 9,4318,2.13087910251071,9.86223095619559,9.9371721439174,8.42388541961987e-20,6.23538297758356e-17,34.3146599616385,TRUE
TC0600008109.hg.1,VEGFA,vascular endothelial growth factor A,7422,0.84728035928419,7.00471995687146,9.93276981678326,8.69421064229701e-20,6.23538297758356e-17,34.2838205766036,TRUE
TC0700013626.hg.1,SLC37A3,solute carrier family 37 member 3,84255,1.73857227297348,8.76999225520635,9.92340863644399,9.29803978104813e-20,6.23538297758356e-17,34.2182623026607,TRUE
TC0400010940.hg.1,SULT1B1,sulfotransferase family 1B member 1,27284,1.76454706979697,7.8092891838249,9.91999096107947,9.5287308889734e-20,6.23538297758356e-17,34.1943341015121,TRUE
TC0200016582.hg.1,NABP1,nucleic acid binding protein 1,64859,1.17528710206074,8.8303995424972,9.91917329283225,9.58476128219671e-20,6.23538297758356e-17,34.1886098681815,TRUE
TC0500013039.hg.1,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2,9509,1.18623343767533,4.81054347426304,9.91222228179216,1.00744982008982e-19,6.33551610193821e-17,34.1399561010778,TRUE
TC0700013354.hg.1,GPR141,G protein-coupled receptor 141,353345,1.45103390931618,8.59037790896586,9.89854875126613,1.11116348540712e-19,6.76232590828733e-17,34.0442899295772,TRUE
TC1900011743.hg.1,TMEM91,transmembrane protein 91,641649,0.950610745246566,8.01027075453223,9.89355041496639,1.15166888745869e-19,6.78980788462365e-17,34.0093332601875,TRUE
TC1700012289.hg.1,CA4,carbonic anhydrase 4,762,1.40831799456154,6.11802022628632,9.88895228679891,1.19022590404011e-19,6.80448542594565e-17,33.9771821148856,TRUE
TC0X00011309.hg.1,HNRNPH2,heterogeneous nuclear ribonucleoprotein H2,3188,1.00307748354997,9.26573237666397,9.83556277874854,1.74375900837948e-19,9.67581101531976e-17,33.6043365349849,TRUE
TC2100007599.hg.1,SAMSN1,"SAM domain, SH3 domain and nuclear localization signals 1",64092,1.59685239174012,8.63577697753105,9.82818074272818,1.83818653741523e-19,9.90835063282164e-17,33.5528519755383,TRUE
TC0200011974.hg.1,SF3B6,splicing factor 3b subunit 6,51639,0.823045256794103,8.89575137883708,9.76530649195802,2.87849962825119e-19,1.50849372184964e-16,33.1150233170523,TRUE
TC1400009147.hg.1,PYGL,glycogen phosphorylase L,5836,1.29365911183728,9.97844149692314,9.75414939531935,3.1165505865553e-19,1.58910387475547e-16,33.0374573672682,TRUE
TC0600012542.hg.1,UBE2J1,ubiquitin conjugating enzyme E2 J1,51465,0.947148701961119,9.54944022890286,9.72605886712649,3.80611151583805e-19,1.88963420678423e-16,32.8423386510733,TRUE
TC0300011651.hg.1,GBE1,"1,4-alpha-glucan branching enzyme 1",2632,1.3166115830652,5.92446193478698,9.72174886564202,3.9245613213668e-19,1.89848138176682e-16,32.8124228526393,TRUE
TC1500008341.hg.1,MAN2A2,mannosidase alpha class 2A member 2,4122,0.880602912568378,9.15057722394518,9.70098801751003,4.54848514807272e-19,2.1452930200885e-16,32.668402911101,TRUE
TC0400011220.hg.1,WDFY3,WD repeat and FYVE domain containing 3,23001,1.56115297603532,7.6768175438851,9.67712148540875,5.38833997282023e-19,2.47942492505431e-16,32.5030059692381,TRUE
TC0200008663.hg.1,IL1R2,interleukin 1 receptor type 2,7850,2.10983108487818,10.074428237637,9.62557513290719,7.76464236972744e-19,3.48780340350662e-16,32.1464016149935,TRUE
TC1100007906.hg.1,RTN3,reticulon 3,10313,0.885474437251384,10.5888914980277,9.61662996030055,8.27214967612833e-19,3.60164825608332e-16,32.0846040850123,TRUE
TC2000009949.hg.1,STX16,syntaxin 16,8675,0.768495564676446,9.06921395357705,9.61446419452137,8.39990052303966e-19,3.60164825608332e-16,32.069645798564,TRUE
TC1300009765.hg.1,IRS2,insulin receptor substrate 2,8660,1.39905409733015,6.19326336223822,9.59143050204604,9.88598589731794e-19,4.14464466530667e-16,31.9106524294921,TRUE
TC1000008475.hg.1,EXOC6,exocyst complex component 6,54536,1.37243568287071,6.41188276500233,9.57071390321216,1.14442035732668e-18,4.6936161872446e-16,31.7677994463542,TRUE
TC0400007559.hg.1,TMEM165,transmembrane protein 165,55858,1.14180350853522,7.20549791274989,9.5532035188545,1.29498955663681e-18,5.19814318627873e-16,31.6471637734136,TRUE
TC0400008803.hg.1,RAB33B,"RAB33B, member RAS oncogene family",83452,0.986353299599251,7.76355777591436,9.53927136120887,1.42871760090995e-18,5.6154554705765e-16,31.5512512341333,TRUE
TC0700009411.hg.1,MGAM2,maltase-glucoamylase 2 (putative),93432,2.32779144118169,7.58271148566837,9.52266492975558,1.60613840678871e-18,6.18396064948486e-16,31.4370112608445,TRUE
TC1100006906.hg.1,FAR1,fatty acyl-CoA reductase 1,84188,0.95563478303,9.17210813222447,9.44362000604587,2.80039056467966e-18,1.05664336786493e-15,30.8944883277535,TRUE
TC0200012189.hg.1,NLRC4,NLR family CARD domain containing 4,58484,1.63634553305063,7.6057941356803,9.41324845300746,3.46533755845124e-18,1.2819031054459e-15,30.6865878928712,TRUE
TC0200009487.hg.1,SPOPL,speckle type BTB/POZ protein like,339745,0.969789074038287,8.46547027920009,9.37676952548153,4.47404452390787e-18,1.62321776900088e-15,30.4372923396544,TRUE
TC1100006831.hg.1,ADM,adrenomedullin,133,1.73349647956355,7.85595743656377,9.34947622827277,5.41486640712865e-18,1.9274881063564e-15,30.2510667855853,TRUE
TC0900010439.hg.1,TRPM6,transient receptor potential cation channel subfamily M member 6,140803,1.5671259413551,6.63878529243294,9.34663315728931,5.52351542639151e-18,1.92975263026486e-15,30.2316827954524,TRUE
TC0700013441.hg.1,IFRD1,interferon related developmental regulator 1,3475,1.07415436299418,9.09754652702784,9.3435569181252,5.64351439062707e-18,1.93582804533764e-15,30.2107121889259,TRUE
TC0300007842.hg.1,EBLN2,endogenous Bornavirus like nucleoprotein 2,55096,1.18685211709748,5.13661028896603,9.33715579762337,5.90157190663749e-18,1.98819742126112e-15,30.1670863918738,TRUE
TC1900008881.hg.1,FCAR,Fc alpha receptor,2204,1.50042383162347,9.15121701974295,9.27224870463127,9.27940921229819e-18,3.06953438405877e-15,29.7255207788205,TRUE
TC0100016676.hg.1,EDEM3,ER degradation enhancing alpha-mannosidase like protein 3,80267,0.811582178960423,8.24704662922845,9.26891176633567,9.49747556790013e-18,3.06953438405877e-15,29.7028589509669,TRUE
TC2000008587.hg.1,RALGAPA2,Ral GTPase activating protein catalytic subunit alpha 2,57186,0.980734739838489,7.76431959735695,9.26737788328104,9.59941315909399e-18,3.06953438405877e-15,29.6924433416208,TRUE
TC1300009218.hg.1,DACH1,dachshund family transcription factor 1,1602,1.59876507581808,5.62063741782857,9.26295554572864,9.89942983825773e-18,3.11271072214284e-15,29.6624187000839,TRUE
TC1400009778.hg.1,TMED8,transmembrane p24 trafficking protein family member 8,283578,0.851103279105147,8.07121107628977,9.25848521188014,1.02121628270897e-17,3.15840432616188e-15,29.6320751402634,TRUE
TC0200009091.hg.1,RALB,RAS like proto-oncogene B,5899,0.950084060997154,9.53676804604315,9.23180698599322,1.2293217505082e-17,3.74070712017544e-15,29.451135257387,TRUE
TC0700013581.hg.1,STEAP4,STEAP4 metalloreductase,79689,1.13218501586864,9.69716168673651,9.22763036846251,1.26551109345884e-17,3.78970353796739e-15,29.4228307944701,TRUE
TC0100009534.hg.1,SLC22A15,solute carrier family 22 member 15,55356,1.11090026158211,7.67961465253611,9.20198657275719,1.512070504634e-17,4.43705983061761e-15,29.2491806006038,TRUE
TC0300013852.hg.1,ST3GAL6,"ST3 beta-galactoside alpha-2,3-sialyltransferase 6",10402,1.10671481501853,7.13445486980691,9.20040757674733,1.52872304139799e-17,4.43705983061761e-15,29.2384958313272,TRUE
TC1300007491.hg.1,KLF5,KLF transcription factor 5,688,1.56666455193739,6.30675059783442,9.19221676282548,1.61807156434317e-17,4.62523305043912e-15,29.1830843222118,TRUE
TC0100007105.hg.1,PADI4,peptidyl arginine deiminase 4,23569,1.42517665894727,8.42306687435824,9.18712823566297,1.67616994419146e-17,4.71979435330092e-15,29.1486720258636,TRUE
TC0X00006676.hg.1,BMX,BMX non-receptor tyrosine kinase,660,2.16672863336708,6.43730290987096,9.18230023013495,1.73320654817845e-17,4.80862863793156e-15,29.1160300760732,TRUE
TC1200011385.hg.1,LIN7A,"lin-7 homolog A, crumbs cell polarity complex component",8825,1.24252042956431,8.35686809735304,9.16640330048251,1.93497163456696e-17,5.29060505184641e-15,29.00861026357,TRUE
TC1200007182.hg.1,FAR2,fatty acyl-CoA reductase 2,55711,1.28525833932387,7.78404396114725,9.12615764389071,2.55608075573129e-17,6.81904628662618e-15,28.7370639373073,TRUE
TC0300006465.hg.1,LRRN1,leucine rich repeat neuronal 1,57633,2.09687607394577,5.8990106569109,9.125581949832,2.56626887708289e-17,6.81904628662618e-15,28.7331838264039,TRUE
TC0100009142.hg.1,PTBP2,polypyrimidine tract binding protein 2,58155,1.08574806619276,5.94148677030363,9.12151537049567,2.63939253299049e-17,6.91594160102759e-15,28.7057789600974,TRUE
TC1000012542.hg.1,ZNF438,zinc finger protein 438,220929,1.24018086411441,7.94212519749143,9.10679357499071,2.92183253765945e-17,7.55113598020318e-15,28.6066180587556,TRUE
