© 2000-2024 QIAGEN. All rights reserved.

Canonical Pathways	IPA_CDIvsHC_adjp0.05 - 2023-06-20 10:47 am	IPA_CDIvsDC_adjp0.05 - 2023-06-20 11:11 am	IPA_CDIvsIBD_adjp0.05 - 2023-06-20 10:40 am	IPA_CDIvsGDH_adjp0.05 - 2023-06-20 11:03 am
Oxidative Phosphorylation	-3.569	-7.616	-1.414	-3.0
Mitochondrial Dysfunction	3.284	6.668	0.2	1.732
Pathogen Induced Cytokine Storm Signaling Pathway	1.821	-4.522	-2.828	-2.668
Neutrophil Extracellular Trap Signaling Pathway	0.0	-6.638	-1.89	-2.985
Hepatic Fibrosis Signaling Pathway	1.058	-3.569	-2.646	-3.9
Superpathway of Inositol Phosphate Compounds	0.211	-4.352	-3.273	-3.317
MicroRNA Biogenesis Signaling Pathway	-2.132	-5.0	-1.8	-2.121
Insulin Secretion Signaling Pathway	1.584	-2.236	-3.13	-4.0
D-myo-inositol-5-phosphate Metabolism	-0.236	-4.642	-3.357	-2.646
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	0.0	-4.642	-3.742	-2.449
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	0.0	-4.642	-3.742	-2.449
3-phosphoinositide Degradation	0.0	-4.49	-3.873	-2.449
Granzyme A Signaling	1.976	5.396	2.0	1.342
3-phosphoinositide Biosynthesis	0.114	-4.596	-2.668	-3.0
Th1 Pathway	-1.65	-4.707	-1.508	-2.449
IL-8 Signaling	2.491	-2.746	-2.5	-2.53
EIF2 Signaling	-3.01	-4.715	-0.302	-2.0
Signaling by Rho Family GTPases	2.495	-3.78	0.535	-2.714
Necroptosis Signaling Pathway	-0.62	-4.802	-1.667	-2.333
fMLP Signaling in Neutrophils	1.387	-2.673	-2.668	-2.646
Endothelin-1 Signaling	1.364	-2.828	-1.886	-3.207
Ephrin Receptor Signaling	3.207	-0.688	-2.982	-2.333
Spliceosomal Cycle	-2.2	-4.359	-2.646	N/A
Estrogen Receptor Signaling	1.699	-2.032	-1.732	-3.545
RAC Signaling	2.429	-2.496	-1.698	-2.236
Superpathway of Methionine Degradation	-3.638	-3.0	-2.0	N/A
Coronavirus Pathogenesis Pathway	3.422	4.128	-0.5	-0.577
Role Of Osteoclasts In Rheumatoid Arthritis Signaling Pathway	2.81	-1.521	-1.961	-2.324
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	2.53	-1.069	-2.138	-2.828
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	2.252	-1.886	-2.53	-1.89
Autophagy	1.238	-1.915	-1.886	-3.464
NRF2-mediated Oxidative Stress Response	-0.152	-3.273	-2.84	-2.0
Integrin Signaling	3.198	-1.279	-1.964	-1.732
Remodeling of Epithelial Adherens Junctions	2.496	-1.342	-2.236	-2.0
NAD Signaling Pathway	1.313	-3.8	-1.069	-1.89
MSP-RON Signaling In Macrophages Pathway	3.91	2.294	-0.577	1.265
Actin Cytoskeleton Signaling	3.713	-1.8	-1.091	-1.414
Multiple Sclerosis Signaling Pathway	0.954	-3.888	0.447	-2.714
Pyroptosis Signaling Pathway	3.812	1.155	-1.0	-2.0
Xenobiotic Metabolism PXR Signaling Pathway	1.305	-1.616	-3.051	-1.897
PD-1, PD-L1 cancer immunotherapy pathway	1.342	3.357	1.134	2.0
IL-12 Signaling and Production in Macrophages	-3.055	-2.117	0.655	-2.0
Induction of Apoptosis by HIV1	-1.095	-3.207	-1.633	-1.89
Immunogenic Cell Death Signaling Pathway	1.206	-3.71	-1.807	-1.0
Superpathway of Cholesterol Biosynthesis	-1.265	-4.0	-2.449	N/A
RANK Signaling in Osteoclasts	1.667	-1.667	-1.89	-2.449
Natural Killer Cell Signaling	0.943	-1.569	-1.606	-3.464
Assembly of RNA Polymerase II Complex	-2.041	-4.583	0.816	N/A
CXCR4 Signaling	1.192	-2.524	-1.807	-1.897
ID1 Signaling Pathway	0.843	-2.043	-2.041	-2.324
Apelin Endothelial Signaling Pathway	-0.149	-2.714	-1.807	-2.53
GNRH Signaling	1.778	-0.447	-2.138	-2.828
Leukocyte Extravasation Signaling	2.828	-0.688	-2.5	-1.155
Osteoarthritis Pathway	2.018	-1.528	-1.964	-1.633
Gα12/13 Signaling	1.809	-1.213	-1.291	-2.828
tRNA Charging	-3.13	-4.0	N/A	N/A
TCA Cycle II (Eukaryotic)	-1.414	-3.464	N/A	-2.236
TWEAK Signaling	-0.943	-2.646	-2.0	-1.414
TNFR1 Signaling	-0.209	-2.828	-1.633	-2.333
Thrombin Signaling	-0.25	-2.357	-1.291	-3.051
Cell Cycle Control of Chromosomal Replication	0.378	-3.873	-2.646	N/A
Senescence Pathway	1.335	-0.801	-2.959	-1.8
Pulmonary Healing Signaling Pathway	2.209	-1.606	-1.789	-1.265
Endocannabinoid Developing Neuron Pathway	1.543	-1.387	-1.807	-2.121
NGF Signaling	1.605	-1.606	-0.632	-3.0
G Beta Gamma Signaling	0.283	-1.941	-1.897	-2.646
Apelin Adipocyte Signaling Pathway	-0.73	-2.333	-1.342	-2.333
LPS-stimulated MAPK Signaling	1.183	-2.121	-1.508	-1.89
PEDF Signaling	2.0	-1.667	-0.535	-2.449
Unfolded protein response	1.279	-2.714	-2.646	N/A
Insulin Receptor Signaling	0.651	-1.886	-1.5	-2.53
Renin-Angiotensin Signaling	1.443	-1.508	-1.155	-2.449
IL-6 Signaling	2.828	-0.302	-1.5	-1.89
Xenobiotic Metabolism General Signaling Pathway	0.132	-2.357	-1.291	-2.53
Stearate Biosynthesis I (Animals)	-0.853	-3.317	N/A	-2.0
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	-1.342	-2.828	-2.0	N/A
Cholesterol Biosynthesis III (via Desmosterol)	-1.342	-2.828	-2.0	N/A
Cholesterol Biosynthesis I	-1.342	-2.828	-2.0	N/A
Th2 Pathway	-0.492	-3.53	-0.728	-1.414
Role of CHK Proteins in Cell Cycle Checkpoint Control	-2.041	-2.121	N/A	-2.0
Macrophage Alternative Activation Signaling Pathway	1.913	-2.828	-0.577	-0.816
Death Receptor Signaling	0.0	-2.668	-1.155	-2.309
Ceramide Signaling	-0.87	-2.673	-0.577	-2.0
Cholecystokinin/Gastrin-mediated Signaling	0.447	-1.155	-1.604	-2.828
Macropinocytosis Signaling	0.192	-2.449	-1.155	-2.236
Toll-like Receptor Signaling	3.138	1.89	N/A	-1.0
Fc Epsilon RI Signaling	1.0	-1.508	-1.069	-2.449
FLT3 Signaling in Hematopoietic Progenitor Cells	2.197	0.302	-1.265	-2.236
UVC-Induced MAPK Signaling	-0.853	-1.897	-1.0	-2.236
