Sample name,batch_date
CDH_639364_0wk,2017-07-26
CDH_888066_0wk,2017-07-26
CDH_135248_0wk,2017-07-26
CDH_117276_0wk,2017-07-26
CDH_647386_0wk,2017-07-26
CDH_446298_0wk,2017-07-26
CDH_346908_0wk,2017-07-26
CDH_249849_0wk,2017-07-26
CDH_293965_0wk,2017-07-26
CDH_503294_0wk,2017-07-26
CDU_696889_0wk,2017-08-09
CDU_415483_0wk,2017-08-09
CDU_731031_0wk,2017-08-09
CDU_845124_0wk,2017-08-09
CDU_587393_0wk,2017-08-09
CDI_556083_0wk,2017-08-09
CDI_555629_0wk,2017-08-09
CDI_546501_0wk,2017-08-09
CDI_575655_0wk,2017-08-09
CDI_255870_0wk,2017-08-09
CDH_407690_0wk,2017-07-26
CDI_788403_0wk,2017-08-09
CDI_799868_0wk,2017-08-09
CDI_250169_0wk,2017-08-09
CDI_255870_2wk,2017-08-09
CDI_540454_2wk,2017-08-09
CDI_555613_2wk,2017-08-09
CDI_674850_2wk,2017-08-09
CDI_450890_2wk,2017-08-09
CDI_738745_0wk,2017-08-09
CDI_841314_0wk,2017-08-09
CDH_101865_0wk,2017-07-26
CDI_395042_0wk,2017-08-09
CDU_209712_0wk,2017-08-24
CDU_134958_0wk,2017-08-24
CDU_283137_0wk,2017-08-24
CDU_960845_0wk,2017-08-24
CDU_543472_0wk,2017-08-24
CDU_434358_0wk,2017-08-24
CDI_674850_0wk,2017-08-24
CDI_538843_0wk,2017-08-24
CDI_929162_2wk,2017-08-24
CDH_880992_0wk,2017-07-26
CDI_265643_0wk,2017-08-24
CDI_855533_2wk,2017-08-24
CDI_326720_0wk,2017-08-24
CDI_700705_2wk,2017-08-24
CDI_558602_0wk,2017-08-24
CDI_558602_2wk,2017-08-24
CDI_958056_2wk,2017-08-24
CDI_740376_0wk,2017-08-24
CDI_762909_0wk,2017-08-24
CDI_296520_0wk,2017-08-24
CDH_494862_0wk,2017-07-26
CDI_314344_0wk,2017-08-24
CDI_352868_0wk,2017-08-24
CDI_156742_2wk,2017-08-24
CDI_478048_0wk,2017-08-24
CDU_657683_0wk,2017-08-24
CDB_756696_0wk,2017-09-20
CDB_232906_0wk,2017-09-20
CDB_261850_0wk,2017-09-20
CDB_461815_0wk,2017-09-20
CDB_651333_0wk,2017-09-20
CDH_402955_0wk,2017-07-26
CDB_822500_0wk,2017-09-20
CDB_312111_0wk,2017-09-20
CDB_656930_0wk,2017-09-20
CDB_238581_0wk,2017-09-20
CDB_994153_0wk,2017-09-20
CDB_449897_0wk,2017-09-20
CDB_447571_0wk,2017-09-20
CDB_376429_0wk,2017-09-20
CDB_808513_0wk,2017-09-20
CDB_649482_0wk,2017-09-20
CDH_544839_0wk,2017-07-26
CDB_873553_0wk,2017-09-20
CDB_104369_0wk,2017-09-20
CDB_720223_0wk,2017-09-20
CDB_731372_0wk,2017-09-20
CDB_813365_0wk,2017-09-20
