PROBEID,SYMBOL,GENENAME,ENTREZID,logFC,AveExpr,t,P.Value,adj.P.Val,B,pval_under_05
TC1000006862.hg.1,OLAH,oleoyl-ACP hydrolase,55301,-2.26509035757474,4.14211242777446,-9.04980268971905,4.32765355117747e-17,8.16455118965141e-13,27.57917776061,TRUE
TC1700006786.hg.1,ALOX15B,arachidonate 15-lipoxygenase type B,247,-1.0298708247646,4.96483651411365,-7.15807720518558,9.25054309619122e-12,8.72603730263718e-08,16.1014887735325,TRUE
TC0500008233.hg.1,MACIR,macrophage immunometabolism regulator,90355,-1.04732669627915,4.97781659339004,-6.50054833873556,4.37075291705218e-10,1.65061430298098e-06,12.5035773143133,TRUE
TC1900011255.hg.1,SIGLEC10,sialic acid binding Ig like lectin 10,89790,0.758453386602222,8.61554439073347,6.49565835678802,4.49378600961901e-10,1.65061430298098e-06,12.477702307199,TRUE
TC0300012118.hg.1,TMEM39A,transmembrane protein 39A,55254,-0.498906274200932,7.68686584342455,-6.47788417413228,4.97030702620213e-10,1.65061430298098e-06,12.3837653841536,TRUE
TC0300007255.hg.1,CCR3,C-C motif chemokine receptor 3,1232,1.53487740952606,5.843128801003,6.46410390998357,5.37357677953313e-10,1.65061430298098e-06,12.3110596540736,TRUE
TC1000008942.hg.1,TCF7L2,transcription factor 7 like 2,6934,0.581977034120537,5.76187796834751,6.44095704358043,6.12440375324225e-10,1.65061430298098e-06,12.1891780102499,TRUE
TC0500013039.hg.1,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2,9509,-0.714354419208036,4.81054347426304,-6.35591438102702,9.87584284970685e-10,2.25416895338878e-06,11.7440122064434,TRUE
TC1400009778.hg.1,TMED8,transmembrane p24 trafficking protein family member 8,283578,-0.547412578086361,8.07121107628977,-6.34068060663612,1.07534827629063e-09,2.25416895338878e-06,11.6647092936769,TRUE
TC0100007949.hg.1,ZMPSTE24,zinc metallopeptidase STE24,10269,-0.454888863340635,8.0702499903905,-6.06635817694716,4.86374508216006e-09,9.17594147200318e-06,10.2600025647797,TRUE
TC0100009231.hg.1,DPH5-DT,DPH5 divergent transcript,102606465,-0.587888150761479,3.16374089837716,-5.9498792300563,9.10309710713927e-09,1.56126390930263e-05,9.67721684145041,TRUE
TC0600012801.hg.1,SESN1,sestrin 1,27244,-0.722112327130091,6.35658520904119,-5.9221404256562,1.05553351615719e-08,1.6594746096518e-05,9.53965602965756,TRUE
TC0200014414.hg.1,CXCR4,C-X-C motif chemokine receptor 4,7852,-0.319270605971422,10.8026781621268,-5.8873922212233,1.26969916480531e-08,1.84262649563207e-05,9.3680061428438,TRUE
TC1100008332.hg.1,LOC100128494,uncharacterized LOC100128494,100128494,0.553232346248883,4.11902141856137,5.69759410040245,3.43563148121675e-08,4.62975882318823e-05,8.44378362233309,TRUE
TC1600007753.hg.1,LONP2,"lon peptidase 2, peroxisomal",83752,-0.383672876419272,8.11713124893826,-5.65827878539906,4.21009321084733e-08,5.12531563439711e-05,8.25519463825099,TRUE
TC1600007960.hg.1,MT1M,metallothionein 1M,4499,0.554659480931386,7.08684359927339,5.64138801985007,4.5928940778377e-08,5.12531563439711e-05,8.17447714066466,TRUE
TC0700010435.hg.1,CDCA7L,cell division cycle associated 7 like,55536,-0.744194407638267,6.28227039140211,-5.64031274861389,4.61838046139886e-08,5.12531563439711e-05,8.16934485699956,TRUE
TC0300013923.hg.1,IL5RA,interleukin 5 receptor subunit alpha,3568,1.25061553739935,6.77421526022591,5.60301576876319,5.59301738874121e-08,5.76144176682031e-05,7.99178763260927,TRUE
TC1300008713.hg.1,KBTBD6,kelch repeat and BTB domain containing 6,89890,-0.435895117297407,3.97215448507879,-5.58151748293261,6.24306293883264e-08,5.76144176682031e-05,7.88985114878324,TRUE
TC0600007959.hg.1,DAAM2,dishevelled associated activator of morphogenesis 2,23500,-1.15862693675327,4.35914948907603,-5.57682428751801,6.39446977232938e-08,5.76144176682031e-05,7.86763773620705,TRUE
TC0300013847.hg.1,PPP4R2,protein phosphatase 4 regulatory subunit 2,151987,-0.482085147924767,8.69388927427485,-5.57625311528448,6.41313882663132e-08,5.76144176682031e-05,7.86493529186914,TRUE
TC0300011273.hg.1,ARF4,ADP ribosylation factor 4,378,-0.354160970737604,9.20710992433187,-5.5656627263832,6.76907183213792e-08,5.80478678114154e-05,7.81486636002146,TRUE
TC0100016052.hg.1,FCRL1,Fc receptor like 1,115350,-0.833862222017198,6.8412528561457,-5.53563761257422,7.88608943641353e-08,6.19848235232685e-05,7.673311781816,TRUE
TC1000007990.hg.1,DDIT4,DNA damage inducible transcript 4,54541,-0.719233413205003,6.7190670424897,-5.52792551988753,8.20082662892648e-08,6.19848235232685e-05,7.63704784233597,TRUE
TC0100010755.hg.1,RALGPS2,Ral GEF with PH domain and SH3 binding motif 2,55103,-0.693306058651568,6.3200648861723,-5.5276132059733,8.21382692717966e-08,6.19848235232685e-05,7.63558009400317,TRUE
TC0100008779.hg.1,ST6GALNAC3,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3",256435,-0.894964965108467,6.06647131249624,-5.48288929735381,1.02982963822828e-07,7.44763288621522e-05,7.4260563324706,TRUE
TC1300007161.hg.1,CDADC1,cytidine and dCMP deaminase domain containing 1,81602,-0.496381476521235,6.43018656421711,-5.47606469753024,1.06586498424579e-07,7.44763288621522e-05,7.39419988759699,TRUE
TC1200012749.hg.1,CD163,CD163 molecule,9332,-0.861370545476217,7.47669197716015,-5.46544207772002,1.12441003629727e-07,7.57611419456584e-05,7.34467580989492,TRUE
TC0100016968.hg.1,RABIF,RAB interacting factor,5877,-0.290431639802296,6.63694366219218,-5.45100905064852,1.20899564650564e-07,7.86514202309499e-05,7.2775064691855,TRUE
TC0700010789.hg.1,AMPH,amphiphysin,273,-0.533153679166511,2.91336738522233,-5.42862027833459,1.3525958926717e-07,8.26893844073964e-05,7.17358487987073,TRUE
TC1900008300.hg.1,RELB,"RELB proto-oncogene, NF-kB subunit",5971,0.449468684586932,6.28551071591056,5.42771696752243,1.35872517578145e-07,8.26893844073964e-05,7.16939896906904,TRUE
TC1600007963.hg.1,MT1DP,"metallothionein 1D, pseudogene",326343,0.649691175828822,9.33120588435616,5.40618223605672,1.51311454082248e-07,8.86550792527424e-05,7.06976821351585,TRUE
TC1700012337.hg.1,P2RX5,purinergic receptor P2X 5,5026,-0.718407723962494,6.57447730770453,-5.40125931487276,1.5507355111526e-07,8.86550792527424e-05,7.04703554635217,TRUE
TC0300006579.hg.1,VHL,von Hippel-Lindau tumor suppressor,7428,-0.256995185788098,7.45434044670949,-5.3841091933323,1.68903811469261e-07,9.37217443287963e-05,6.96796720035656,TRUE
TC0600011823.hg.1,TRERF1,transcriptional regulating factor 1,55809,0.388225997809986,7.82584592456206,5.3481538259789,2.01903114893081e-07,0.000108831547587796,6.80283747637719,TRUE
TC0300008182.hg.1,CEP97,centrosomal protein 97,79598,-0.480232192933605,5.94775904725175,-5.29374906705232,2.64052309354576e-07,0.00013837807967454,6.55462624695468,TRUE
TC0700009369.hg.1,RAB19,"RAB19, member RAS oncogene family",401409,-0.716224800499778,4.97767682169215,-5.27702120494311,2.86647699845813e-07,0.000145855449191996,6.47870981490319,TRUE
TC0200008663.hg.1,IL1R2,interleukin 1 receptor type 2,7850,-1.08510211585325,10.074428237637,-5.27124307835226,2.94880647175517e-07,0.000145855449191996,6.45253081103015,TRUE
TC1200007626.hg.1,TMT1A,thiol methyltransferase 1A,25840,-0.412466220430614,10.2975029228008,-5.26670050317666,3.01513967904582e-07,0.000145855449191996,6.43196561058518,TRUE
TC0600006992.hg.1,SIRT5,sirtuin 5,23408,-0.453814898091406,6.097558988328,-5.25068263253071,3.26080829329884e-07,0.00015379602315344,6.35956100282529,TRUE
TC1900010670.hg.1,CLC,Charcot-Leyden crystal galectin,1178,1.14914953840548,8.88723338819943,5.24199595079854,3.40205675189684e-07,0.000156544396783624,6.32036799387115,TRUE
TC1500010018.hg.1,SEMA7A,semaphorin 7A (JohnMiltonHagen blood group),8482,0.375640508227141,6.32390859424931,5.23251030680821,3.56308318939074e-07,0.000158727323089831,6.27762880735272,TRUE
TC0X00011083.hg.1,TMEM185A,transmembrane protein 185A,84548,-0.380775416493492,6.29946333006103,-5.22938363793557,3.61776470521717e-07,0.000158727323089831,6.26355449073093,TRUE
TC0100016476.hg.1,KIAA0040,KIAA0040,9674,-0.33723657773227,10.1603588396127,-5.21935867831901,3.7986392145271e-07,0.000160218919519744,6.21847328707081,TRUE
TC1500010106.hg.1,TSPAN3,tetraspanin 3,10099,-0.571118601054621,6.42938736836284,-5.21398351994197,3.8992048170733e-07,0.000160218919519744,6.19432998489352,TRUE
TC1600007961.hg.1,MT1JP,"metallothionein 1J, pseudogene",4498,0.677343779452961,8.60496259599792,5.2135969683905,3.90653572453526e-07,0.000160218919519744,6.19259449263053,TRUE
TC1000007986.hg.1,ANAPC16,anaphase promoting complex subunit 16,119504,-0.304868481183952,8.57583225490659,-5.16884077793263,4.85220518756754e-07,0.000194769580997126,5.99234453536121,TRUE
TC1600011566.hg.1,TMEM170A,transmembrane protein 170A,124491,-0.417752585722113,7.70932928982984,-5.16362851758451,4.97581614857594e-07,0.00019557030720632,5.96911289398672,TRUE
TC0800012447.hg.1,AZIN1,antizyme inhibitor 1,51582,-0.341552355037035,9.19751312706435,-5.1565676819435,5.14814952005464e-07,0.000198214262949696,5.93767171480761,TRUE
TC0300013896.hg.1,MFSD1,major facilitator superfamily domain containing 1,64747,-0.432276311134148,10.0595960681989,-5.13018206689982,5.84487065369172e-07,0.000220538659505096,5.82048298421521,TRUE
TC0600013462.hg.1,FBXO30,F-box protein 30,84085,-0.413811109425204,7.36430721186332,-5.11908080254028,6.16459213802842e-07,0.000226151384875109,5.77132146509151,TRUE
TC1600007962.hg.1,MT1A,metallothionein 1A,4489,0.594573354975465,10.0368862499127,5.11605992060451,6.25448982067953e-07,0.000226151384875109,5.75795834206617,TRUE
TC1100013144.hg.1,ZBED5,zinc finger BED-type containing 5,58486,-0.352705335305298,6.93296886336709,-5.11066557786712,6.41819022494208e-07,0.000226151384875109,5.73411171012654,TRUE
TC1600007958.hg.1,MT1L,metallothionein 1L (pseudogene),4500,0.574593285657288,9.5972378059669,5.10888558827644,6.47311289264068e-07,0.000226151384875109,5.72624737255856,TRUE
TC2000008995.hg.1,NORAD,non-coding RNA activated by DNA damage,647979,-0.431314048646337,8.3070143594201,-5.09897795324183,6.78724606638639e-07,0.000229190187273636,5.68251360583844,TRUE
TC1600007964.hg.1,MT1B,metallothionein 1B,4490,0.60036700401365,9.79899479303206,5.09849105943252,6.80305867026587e-07,0.000229190187273636,5.68036613706309,TRUE
TC0600008014.hg.1,MDFI,MyoD family inhibitor,4188,0.240917426100586,5.94620716068212,5.07529965437386,7.59902941441881e-07,0.00024836967922474,5.57826974439294,TRUE
TC0400006692.hg.1,MRFAP1,Morf4 family associated protein 1,93621,-0.349942510756245,9.41393753967332,-5.07428987139779,7.63566277697176e-07,0.00024836967922474,5.57383282223051,TRUE
TC0500011702.hg.1,STARD4,StAR related lipid transfer domain containing 4,134429,-0.323799482374082,6.29839786338461,-5.0649283083552,7.98353497324686e-07,0.000255283679330975,5.53273246195139,TRUE
TC0500012455.hg.1,CSF1R,colony stimulating factor 1 receptor,1436,0.54640765711636,8.7400253909072,5.0430234154119,8.85857718896965e-07,0.000276169003103209,5.43680114548268,TRUE
TC0100014937.hg.1,DIPK1A,divergent protein kinase domain 1A,388650,-0.710431009954489,5.21495795093909,-5.03937553420938,9.01305103337115e-07,0.000276169003103209,5.42085793929223,TRUE
TC1100010187.hg.1,CALCA,calcitonin related polypeptide alpha,796,0.398764922951237,4.19490937727138,5.0379100833447,9.07583917756756e-07,0.000276169003103209,5.41445574477936,TRUE
TC0200008661.hg.1,LINC01127,long intergenic non-protein coding RNA 1127,100506328,-1.01357037229763,5.46723295883673,-5.03061938879112,9.39456406162508e-07,0.000281329913629554,5.38262678508882,TRUE
TC1300006969.hg.1,KBTBD6-DT,KBTBD6 divergent transcript,101929140,-0.44467195400009,3.98633060221782,-5.01372211254011,1.01754903991621e-06,0.000299954377922799,5.30900128007501,TRUE
TC0X00009911.hg.1,VSIG4,V-set and immunoglobulin domain containing 4,11326,-1.19188306456237,5.33489518309788,-5.00590055035389,1.05579147515079e-06,0.000304258800389031,5.2749885259477,TRUE
