PROBEID,SYMBOL,GENENAME,ENTREZID,logFC,AveExpr,t,P.Value,adj.P.Val,B,pval_under_05
TC1900008509.hg.1,RUVBL2,RuvB like AAA ATPase 2,10856,-0.41776903391935,7.02518060361087,-6.3538497247433,9.99053987155277e-10,1.01578110416984e-05,11.7683256877252,TRUE
TC1700011967.hg.1,EIF4A3,eukaryotic translation initiation factor 4A3,9775,-0.478067745983051,5.61815107720912,-6.32991515167421,1.14193802118645e-09,1.01578110416984e-05,11.6431649870834,TRUE
TC1100011094.hg.1,UBXN1,UBX domain protein 1,51035,-0.250415637643211,8.27297868000829,-6.2675373584346,1.61525671181466e-09,1.01578110416984e-05,11.3185514994731,TRUE
TC1500008225.hg.1,MRPS11,mitochondrial ribosomal protein S11,64963,-0.387074905729214,6.81677836548092,-6.17987091912469,2.61922648962169e-09,1.23535817383007e-05,10.8662261432399,TRUE
TC2200007035.hg.1,UQCR10,"ubiquinol-cytochrome c reductase, complex III subunit X",29796,-0.413865160503844,6.77534832347108,-6.02744580427345,6.00233450580989e-09,1.91206151297891e-05,10.0907640382903,TRUE
TC0500008653.hg.1,UQCRQ,ubiquinol-cytochrome c reductase complex III subunit VII,27089,-0.460292784517812,6.78096283809637,-6.02503200683525,6.08097587081174e-09,1.91206151297891e-05,10.0785975231811,TRUE
TC1500009868.hg.1,ANP32A-IT1,ANP32A intronic transcript 1,80035,0.656250300489951,6.75986471881622,5.97255429940922,8.06278296822242e-09,1.93875082785613e-05,9.81497391588764,TRUE
TC1400009490.hg.1,PIGH,phosphatidylinositol glycan anchor biosynthesis class H,5283,-0.357146819818296,4.98841228567592,-5.95840394406338,8.69743992652022e-09,1.93875082785613e-05,9.7441798523208,TRUE
TC1900011929.hg.1,IGFLR1,IGF like family receptor 1,79713,-0.386868973348803,6.68251760707128,-5.94690808559816,9.24878482492588e-09,1.93875082785613e-05,9.68675747763149,TRUE
TC2200006601.hg.1,MRPL40,mitochondrial ribosomal protein L40,64976,-0.47652849951282,6.78328438078154,-5.91497775487123,1.09657109382979e-08,2.06879102561928e-05,9.52769440719395,TRUE
TC0100017839.hg.1,MIR1537,microRNA 1537,100302139,0.621257664613598,5.24799750924547,5.86861226648159,1.40256421201029e-08,2.40552512943511e-05,9.29785368449569,TRUE
