PROBEID,SYMBOL,GENENAME,ENTREZID,logFC,AveExpr,t,P.Value,adj.P.Val,B,pval_under_05
TC0700013442.hg.1,LSMEM1,leucine rich single-pass membrane protein 1,286006,1.18008520524403,5.94899016362412,8.23241874395499,1.05472116136285e-14,1.98983694302716e-10,22.7980337078907,TRUE
TC0100007378.hg.1,CLIC4,chloride intracellular channel 4,25932,0.670308697514137,7.54910263506189,8.0461074615814,3.55093386525804e-14,3.31501037013086e-10,21.6334361882195,TRUE
TC1500009089.hg.1,PLCB2,phospholipase C beta 2,5330,0.406712631848453,9.02950831633728,7.98495420380442,5.27140417173359e-14,3.31501037013086e-10,21.2544973305275,TRUE
TC1100013185.hg.1,FAU,FAU ubiquitin like and ribosomal protein S30 fusion,2197,-0.586248195666547,8.32197425981527,-7.87620110067353,1.0598403902786e-13,4.99873720074901e-10,20.5847539031619,TRUE
TC1000011827.hg.1,RPL13AP6,ribosomal protein L13a pseudogene 6,644511,-0.617332312861311,8.92190192691297,-7.75543930790713,2.28696465967324e-13,7.24376511766475e-10,19.8474014385366,TRUE
TC0600011134.hg.1,H4C4,H4 clustered histone 4,8360,0.754927727549426,7.35303556297975,7.74839722877806,2.39136314284806e-13,7.24376511766475e-10,19.8046128366316,TRUE
TC0700009411.hg.1,MGAM2,maltase-glucoamylase 2 (putative),93432,1.734854527718,7.58271148566837,7.72994918754344,2.68771100517615e-13,7.24376511766475e-10,19.6926304534094,TRUE
TC1100012681.hg.1,SIAE,sialic acid acetylesterase,54414,0.84324971085942,7.21892534880171,7.6892708800561,3.47544297342212e-13,8.19596339207271e-10,19.44627381301,TRUE
TC0700008190.hg.1,CD36,CD36 molecule (CD36 blood group),948,0.715040409550324,10.2658036827585,7.54940129480869,8.35973324077507e-13,1.75238585911625e-09,18.6052202590343,TRUE
TC0600011646.hg.1,SLC26A8,solute carrier family 26 member 8,116369,1.65978221352863,5.80048615372834,7.52774533366342,9.5684239815854e-13,1.8051788683659e-09,18.4758457438905,TRUE
TC0200009281.hg.1,MZT2B,mitotic spindle organizing protein 2B,80097,-0.484182986557659,7.92821687002594,-7.51157921805725,1.05817028987267e-12,1.8148582444307e-09,18.3794174637295,TRUE
TC2200009352.hg.1,TPTEP2,TPTE pseudogene 2,400927,0.59587949765094,6.64800767014551,7.49484212749379,1.17423656421681e-12,1.84609558504285e-09,18.2797184628649,TRUE
TC0200016582.hg.1,NABP1,nucleic acid binding protein 1,64859,0.81273843724072,8.8303995424972,7.47104661443179,1.3611741499701e-12,1.97537780871814e-09,18.1382114222109,TRUE
TC0900010439.hg.1,TRPM6,transient receptor potential cation channel subfamily M member 6,140803,1.13921108461757,6.63878529243294,7.4003905324548,2.10714898140214e-12,2.56772224247691e-09,17.7196878191025,TRUE
TC0700013441.hg.1,IFRD1,interferon related developmental regulator 1,3475,0.780670841081419,9.09754652702784,7.3962679460703,2.16139861427721e-12,2.56772224247691e-09,17.6953449791329,TRUE
TC1900010856.hg.1,PLAUR,"plasminogen activator, urokinase receptor",5329,0.629049054829658,8.09352434966479,7.39505277369028,2.17765058197978e-12,2.56772224247691e-09,17.6881713150804,TRUE
TC0700013397.hg.1,CDK14,cyclin dependent kinase 14,5218,0.872838057674184,7.43546094159242,7.38301632963185,2.34528353061974e-12,2.60271288756894e-09,17.6171552075742,TRUE
TC0200009487.hg.1,SPOPL,speckle type BTB/POZ protein like,339745,0.696721490739551,8.46547027920009,7.33726661539998,3.1068616786096e-12,3.25633624603604e-09,17.3478929459966,TRUE
TC1000012117.hg.1,CHST15,carbohydrate sulfotransferase 15,51363,0.588981846920602,10.1553032580378,7.32671689458643,3.31450217699982e-12,3.29112621427783e-09,17.2859520920773,TRUE
TC0200015601.hg.1,KANSL1L,KAT8 regulatory NSL complex subunit 1 like,151050,0.667286415848553,6.75071847183765,7.29197045640576,4.09997895609703e-12,3.73050405542904e-09,17.0823442504502,TRUE
TC0200012161.hg.1,GALNT14,polypeptide N-acetylgalactosaminyltransferase 14,79623,1.88691226148696,5.526239389599,7.28988864812589,4.15247456609826e-12,3.73050405542904e-09,17.0701647635643,TRUE
TC0300009724.hg.1,VPS8,VPS8 subunit of CORVET complex,23355,0.697998558342009,8.08593045953462,7.26845093075538,4.73313419143435e-12,4.01400154443273e-09,16.9448736673356,TRUE
TC1500008341.hg.1,MAN2A2,mannosidase alpha class 2A member 2,4122,0.6053132080596,9.15057722394518,7.26298487995257,4.8935670265002e-12,4.01400154443273e-09,16.912965414294,TRUE
TC0600011535.hg.1,RGL2,ral guanine nucleotide dissociation stimulator like 2,5863,0.699180531838561,8.55974640557702,7.25117178929285,5.25883324334169e-12,4.13388116537018e-09,16.8440585022544,TRUE
TC1200011846.hg.1,CORO1C,coronin 1C,23603,0.521838005621383,9.54787115917834,7.24408229899255,5.49081749516039e-12,4.14359051454784e-09,16.8027392624396,TRUE
TC1700007319.hg.1,WSB1,WD repeat and SOCS box containing 1,26118,0.820752265172423,9.02669022098238,7.23425705355205,5.82908562474409e-12,4.22967420755469e-09,16.7455181852414,TRUE
