PROBEID,SYMBOL,GENENAME,ENTREZID,logFC,AveExpr,t,P.Value,adj.P.Val,B,pval_under_05
TC0700013442.hg.1,LSMEM1,leucine rich single-pass membrane protein 1,286006,1.46391106057044,5.94899016362412,11.9267638243188,3.23908608856954e-26,6.11085981469529e-22,48.724818379693,TRUE
TC0700009411.hg.1,MGAM2,maltase-glucoamylase 2 (putative),93432,2.23952432821988,7.58271148566837,11.6536829882151,2.58505893291955e-25,2.43848609142301e-21,46.6973171539217,TRUE
TC0200012161.hg.1,GALNT14,polypeptide N-acetylgalactosaminyltransferase 14,79623,2.45433931203664,5.526239389599,11.0738243803604,2.0313166321899e-23,1.27742731942982e-19,42.4372899603281,TRUE
TC0600007679.hg.1,HLA-DPB2,"major histocompatibility complex, class II, DP beta 2 (pseudogene)",3116,-1.08948493120245,5.57503789505073,-10.9804037763493,4.07664692310854e-23,1.92275052128414e-19,41.7573423450755,TRUE
TC0200015601.hg.1,KANSL1L,KAT8 regulatory NSL complex subunit 1 like,151050,0.820401030392262,6.75071847183765,10.4701439773048,1.76649827773149e-21,6.66535130153645e-18,38.0788514278075,TRUE
TC0200009487.hg.1,SPOPL,speckle type BTB/POZ protein like,339745,0.842540966090148,8.46547027920009,10.3623906356763,3.88296671817687e-21,1.22093416841875e-17,37.3102496489294,TRUE
TC1400009147.hg.1,PYGL,glycogen phosphorylase L,5836,1.07483513254462,9.97844149692314,10.3087114583488,5.74201198819457e-21,1.54755425956112e-17,36.9284938795633,TRUE
TC0200008655.hg.1,MAP4K4,mitogen-activated protein kinase kinase kinase kinase 4,9448,0.620936047924843,8.79352164585179,10.2753948369363,7.31720782865759e-21,1.72558053619317e-17,36.6919395951465,TRUE
TC1500008341.hg.1,MAN2A2,mannosidase alpha class 2A member 2,4122,0.729506385250742,9.15057722394518,10.2225190202555,1.07439624473986e-20,2.06148765200935e-17,36.3171276754313,TRUE
TC0100015397.hg.1,CD58,CD58 molecule,965,0.933399740798239,7.59401913605719,10.2118283063715,1.16105366440886e-20,2.06148765200935e-17,36.2414389219207,TRUE
TC1200008488.hg.1,PLXNC1,plexin C1,10154,0.815381590586611,10.6031933054695,10.2070535935875,1.20196990205146e-20,2.06148765200935e-17,36.2076447625484,TRUE
TC0900010439.hg.1,TRPM6,transient receptor potential cation channel subfamily M member 6,140803,1.34184885701927,6.63878529243294,10.1800023326039,1.46237444346554e-20,2.29909635420174e-17,36.0163017021437,TRUE
TC1100006831.hg.1,ADM,adrenomedullin,133,1.47801435379423,7.85595743656377,10.1399531537394,1.95425728522707e-20,2.83607830331492e-17,35.7333925297828,TRUE
TC0400009217.hg.1,KLHL2,kelch like family member 2,11275,1.27824854451576,8.6935896417261,10.1111874847073,2.4060580513789e-20,3.07671431356518e-17,35.5304674863058,TRUE
TC0900010769.hg.1,NFIL3,"nuclear factor, interleukin 3 regulated",4783,0.946620405485418,8.53720780189712,10.1088954892906,2.44623739549866e-20,3.07671431356518e-17,35.5143088146686,TRUE
TC0600011646.hg.1,SLC26A8,solute carrier family 26 member 8,116369,1.89888657095638,5.80048615372834,10.0578852219828,3.53512871816674e-20,4.16835864980835e-17,35.1550696902026,TRUE
TC1100012126.hg.1,MMP8,matrix metallopeptidase 8,4317,3.57357622438513,7.81482607801189,9.98089231441162,6.15381912854464e-20,6.82929127524254e-17,34.6142619128579,TRUE
TC0400012621.hg.1,ACSL1,acyl-CoA synthetase long chain family member 1,2180,1.12869534598769,10.3315615845081,9.94793686572255,7.79756362935423e-20,8.17271307952205e-17,34.3833058833944,TRUE
TC2200007271.hg.1,NCF4,neutrophil cytosolic factor 4,4689,0.791728593574806,10.0880474434917,9.92204855365239,9.38917178401886e-20,9.32295341459473e-17,34.2021015132531,TRUE
TC0200012189.hg.1,NLRC4,NLR family CARD domain containing 4,58484,1.35260092846429,7.6057941356803,9.89753774534305,1.11924054066765e-19,9.92306145213445e-17,34.0307221007475,TRUE
TC1000008475.hg.1,EXOC6,exocyst complex component 6,54536,1.11535092428127,6.41188276500233,9.8936568587018,1.15079118117203e-19,9.92306145213445e-17,34.0036033806001,TRUE
TC0100015858.hg.1,S100A8,S100 calcium binding protein A8,6279,0.432729583530509,12.0989236955852,9.89288787513892,1.1571469943123e-19,9.92306145213445e-17,33.9982304389022,TRUE
TC0400007933.hg.1,ANXA3,annexin A3,306,1.89200814152751,8.44582904939975,9.88387901030358,1.23425767604548e-19,1.01241327462061e-16,33.9352980435237,TRUE
TC0300009724.hg.1,VPS8,VPS8 subunit of CORVET complex,23355,0.811628566078793,8.08593045953462,9.87048519397328,1.35844047669149e-19,1.06784741805257e-16,33.841779050029,TRUE
TC2200009248.hg.1,KREMEN1,kringle containing transmembrane protein 1,83999,1.4876578694719,7.90022149422538,9.85599983221414,1.50675280599243e-19,1.13705593751413e-16,33.7406993039045,TRUE
TC0X00006799.hg.1,SAT1,spermidine/spermine N1-acetyltransferase 1,6303,0.782228392386365,9.90818498140228,9.80209760172172,2.21439907763058e-19,1.60680203840686e-16,33.365124095824,TRUE
TC1700007779.hg.1,MSL1,MSL complex subunit 1,339287,0.748926172438354,9.1232818688154,9.78785021486165,2.45125915951983e-19,1.71279464087041e-16,33.2660003888018,TRUE
TC0200008005.hg.1,DYSF,dysferlin,8291,1.25835193916345,8.38744635845616,9.76945951156583,2.79458256487193e-19,1.88294980960263e-16,33.1381424320973,TRUE
TC0600011644.hg.1,SRPK1,SRSF protein kinase 1,6732,1.04995987692273,6.99336201475844,9.71536354846808,4.10681199158194e-19,2.67169362183396e-16,32.7626566921058,TRUE
TC0600007701.hg.1,PHF1,PHD finger protein 1,5252,-0.733815153356772,6.80841344157829,-9.70103527058152,4.54695867584248e-19,2.85943074594814e-16,32.6633553423419,TRUE
TC0100016086.hg.1,AIM2,absent in melanoma 2,9447,1.38646645612309,7.21924593094652,9.69087987338275,4.88700707778059e-19,2.9741379203035e-16,32.5930129029271,TRUE
TC1300009218.hg.1,DACH1,dachshund family transcription factor 1,1602,1.31060736774743,5.62063741782857,9.65896319572331,6.12901192433735e-19,3.61343559264214e-16,32.3721501851559,TRUE
TC0400011220.hg.1,WDFY3,WD repeat and FYVE domain containing 3,23001,1.22384734870858,7.6768175438851,9.64985888214194,6.53760426260667e-19,3.73752854601022e-16,32.3092076193595,TRUE
TC0200016582.hg.1,NABP1,nucleic acid binding protein 1,64859,0.892489467598082,8.8303995424972,9.58136944516812,1.06144689725152e-18,5.88978151869035e-16,31.8365551294978,TRUE
TC0100009241.hg.1,S1PR1,sphingosine-1-phosphate receptor 1,1901,-0.888858838197317,10.0646283150939,-9.57684781938154,1.09589997211152e-18,5.90721396395885e-16,31.8054039972719,TRUE
TC0700007034.hg.1,CREB5,cAMP responsive element binding protein 5,9586,0.818962601624627,11.1705274386798,9.57010816071819,1.14932615700017e-18,6.02310757721258e-16,31.7589843050029,TRUE
TC0600011134.hg.1,H4C4,H4 clustered histone 4,8360,0.796016680727282,7.35303556297975,9.54162862298572,1.40516405780421e-18,7.16481759852275e-16,31.5629930501287,TRUE
