PROBEID,SYMBOL,GENENAME,ENTREZID,logFC,AveExpr,t,P.Value,adj.P.Val,B,pval_under_05
TC0600012542.hg.1,UBE2J1,ubiquitin conjugating enzyme E2 J1,51465,0.809680532706569,9.54944022890286,9.74276074340356,3.37972261071235e-19,6.37618467736991e-15,32.781540317276,TRUE
TC0600007374.hg.1,H2AC13,H2A clustered histone 13,8329,0.704024843496921,8.70094301159745,9.13299127760492,2.43816862061869e-17,2.29992445982961e-13,28.6611533185841,TRUE
TC0100015858.hg.1,S100A8,S100 calcium binding protein A8,6279,0.427230103630837,12.0989236955852,8.99756477885299,6.19683098289855e-17,3.89698044411213e-13,27.7630851874337,TRUE
TC0200006677.hg.1,RRM2,ribonucleotide reductase regulatory subunit M2,6241,1.4813403110343,6.11111023495913,8.57283295932696,1.10457190907917e-15,4.75488250538539e-12,24.9905355917721,TRUE
TC0600011134.hg.1,H4C4,H4 clustered histone 4,8360,0.774584823339116,7.35303556297975,8.55314745739385,1.26017240151208e-15,4.75488250538539e-12,24.8637234158486,TRUE
TC0200012161.hg.1,GALNT14,polypeptide N-acetylgalactosaminyltransferase 14,79623,1.99960324130476,5.526239389599,8.31119545144641,6.28417260119588e-15,1.97595333823603e-11,23.3179424184277,TRUE
TC0500008544.hg.1,LMNB1,lamin B1,4001,0.811079596442899,7.83019650824761,8.19916555242849,1.311351378818e-14,3.53427930182577e-11,22.6104723135433,TRUE
TC0500007792.hg.1,HEXB,hexosaminidase subunit beta,3074,0.806066798456122,9.31694507866346,8.16663111716452,1.62201110116627e-14,3.82510767932536e-11,22.4060238206644,TRUE
TC0100016086.hg.1,AIM2,absent in melanoma 2,9447,1.260485330205,7.21924593094652,8.11611653900306,2.25433146502613e-14,4.11147388215808e-11,22.0894970362713,TRUE
TC0100010032.hg.1,S100A9,S100 calcium binding protein A9,6280,0.464552457694005,11.8039319895982,8.10915538735575,2.35874268208358e-14,4.11147388215808e-11,22.0459654503565,TRUE
TC0300007466.hg.1,ALAS1,5'-aminolevulinate synthase 1,211,0.632156730378076,7.57601526231591,8.10666584136384,2.39723379114486e-14,4.11147388215808e-11,22.0304022219644,TRUE
TC0100007378.hg.1,CLIC4,chloride intracellular channel 4,25932,0.625355420865645,7.54910263506189,8.07585231726729,2.92833508038863e-14,4.60383080221766e-11,21.8379990560141,TRUE
TC1100013222.hg.1,CARD16,caspase recruitment domain family member 16,114769,0.495090571203887,10.1470264928796,7.88548875103543,9.98686609250418e-14,1.44932473616295e-10,20.6587387756702,TRUE
TC0700013442.hg.1,LSMEM1,leucine rich single-pass membrane protein 1,286006,1.04461326107931,5.94899016362412,7.8400728378306,1.33499327770309e-13,1.68854084577404e-10,20.3798281905493,TRUE
TC0700008190.hg.1,CD36,CD36 molecule (CD36 blood group),948,0.690117743897467,10.2658036827585,7.83890849034382,1.34494709559338e-13,1.68854084577404e-10,20.3726901431692,TRUE
TC0700009411.hg.1,MGAM2,maltase-glucoamylase 2 (putative),93432,1.63322559336166,7.58271148566837,7.82907092910747,1.43202870414421e-13,1.68854084577404e-10,20.3124058913495,TRUE
TC1500007392.hg.1,CCNB2,cyclin B2,9133,1.28260220265523,4.04011148611574,7.79635789114432,1.76365573177111e-13,1.95724288444669e-10,20.1122644833539,TRUE
TC1100009374.hg.1,VWA5A,von Willebrand factor A domain containing 5A,4013,0.817750103076521,5.8948157182637,7.73891186316514,2.53946119078226e-13,2.52796899296582e-10,19.7620139974995,TRUE
TC1100006831.hg.1,ADM,adrenomedullin,133,1.22445672714065,7.85595743656377,7.73851045794875,2.54592446021152e-13,2.52796899296582e-10,19.7595720703747,TRUE
TC0200013878.hg.1,BUB1,BUB1 mitotic checkpoint serine/threonine kinase,699,1.04552795646823,4.94431681881447,7.68565415195468,3.55564512177575e-13,3.35404004337107e-10,19.4386895449708,TRUE
TC0600011646.hg.1,SLC26A8,solute carrier family 26 member 8,116369,1.57221180915168,5.80048615372834,7.67141260100006,3.88962295852599e-13,3.4943631778834e-10,19.3524583179492,TRUE
TC0500006744.hg.1,ROPN1L,rhophilin associated tail protein 1 like,83853,0.976431300809047,7.48218346827875,7.63505484275097,4.88935954289139e-13,4.19284805164496e-10,19.1327555495305,TRUE
TC1700007720.hg.1,PSMB3,proteasome 20S subunit beta 3,5691,0.441301108764119,8.54534043669826,7.60686149449345,5.83575284285729e-13,4.78683970144981e-10,18.9628261157887,TRUE
